name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu,type
Shree K Foods,Yes,No,NEW,0,Bellandur,Quick Bites,"Street Food, North Indian",300,"['Sev Puri', '2 Aloo Paratha', 'Paneer Manchurian', 'Chole Masala Gravy', 'Deluxe Mini Meals [Tava Roti]', 'Mini Meals [Tava Roti]', 'Mini Meals', 'Deluxe Mini Meals [Tava Roti]', 'Deluxe Mini Meals Paratha', 'Veg Lollipop Dry [6 Pieces]', 'Veg Hara Bhara Kabab [2 Pieces]', 'Veg Hara Bhara Kabab [2 Pieces]', 'Chilli Paneer Dry [2 Pieces]', 'Gobi Manchurian', 'Paneer Manchurian', 'Gobi Chilli Dry', 'Bhindi Kurkura', 'Achari Paneer', 'Palak Paneer', 'Chilli', 'Paneer', 'Malai Kofta', 'Tringle Kofta', 'Kaju Paneer', 'Paneer Manchurian', 'Chole Masala Dry', 'Chole Masala Gravy', 'Paneer Chole', 'Aloo Chole', 'Dal Makhani', 'Rajma Masala', 'Dal Fry', 'Dal Tadka', 'Aloo Jeera', 'Aloo Gobi Masala', 'Aloo Gobi Matar', 'Gobi Matar Dry', 'Dum Aloo', 'Mixed Veg Dry', 'Bhindi Fry', 'Masala Bhindi', 'Shahi Paneer', 'Kadhai Paneer', 'Paneer Bhurji', 'Paneer Butter Masala', 'Paneer Matar', 'Khoya Paneer', 'Kashmiri Paneer', 'Satrangi Paneer', '2 Mixed Veg Paratha', '2 Aloo Matar Paratha', '2 Methi Paratha', '2 Mixed Paratha', '2 Palak Paratha', '2 Paneer Paratha', '2 Khoya Paratha', '2 Chilli Paneer Paratha', '2 Paneer Onion Paratha', '2 Cheese Paratha', '2 Cheese Masala Paratha', '2 Chilli Masala Paratha', '2 Plain Paratha', '2 Aloo Paratha', '2 Gobi Paratha', '2 Aloo Onion Paratha', '2 Onion Paratha', '2 Matar Paratha', '2 Masala Matar Paratha', 'Mixed Veg Paratha', '2 Sattu Paratha', 'Roti without Ghee', 'Roti Ghee', '2 Paratha', 'Plain Rice', 'Jeera Rice', 'Curd Tadka Rice', 'Onion Rice', 'Lemon Rice', 'Matar Pulao', 'Veg Tava Pulao', 'Lemon Pulao', 'Paneer Pulao', 'Dry Fruit Pulao', 'Veg Biryani', 'Green Chilli Biryani', 'Paneer Biryani', 'Dry Fruit Biryani', 'Fried Rice', 'Veg Fried Rice', 'Tomato Fried Rice', 'Schezwan Fried Rice', 'Noodles', 'Manchurian [2 Pieces]', 'Gobi 65 [2 Pieces]', 'Gobi Chilli Dry [2 Pieces]', 'Paneer Manchurian', 'Paneer Chilli', 'Mushroom Papper Dry', 'Baby Corn Manchurian [2 Pieces]', 'Baby Corn Chilli', 'Samosa', 'Kachori', 'Onion Kachori', 'Pani Puri', 'Masala Puri', 'Bhel Puri', 'Samosa Chat', 'Sev Puri', 'Pav Bhaji', 'Vada Pav [2 Pieces]', 'Raj Kachori', 'Bread Pakoda', 'Aloo Bhonda', 'Mirchi Pakoda']",Dine-out
Savi Sagar,No,No,3.2 /5,6,Bellandur,"Food Court, Quick Bites","North Indian, South Indian, Chinese",400,[],Dine-out
Biryani Kitchen,No,No,3.6 /5,31,Bellandur,Quick Bites,Biryani,350,[],Dine-out
The Paratha Studio,No,No,NEW,0,Bellandur,Quick Bites,North Indian,200,[],Dine-out
Singh Saheb Di Rasoi,Yes,No,3.2 /5,10,Bellandur,Quick Bites,North Indian,800,[],Dine-out
Park N Eat,Yes,No,3.7 /5,18,Marathahalli,Quick Bites,"Chinese, North Indian",300,[],Dine-out
Ghar Ki Rasoi,Yes,No,3.7 /5,50,Bellandur,Casual Dining,North Indian,500,[],Dine-out
Yummy Punjabi,Yes,No,3.0 /5,93,Bellandur,Quick Bites,"North Indian, Chinese",400,"['Veg Biryani', 'Egg Biryani', 'Chicken Biryani', 'Paneer Butter Masala', 'Boneless Butter Chicken', 'Chicken Fried Rice', 'Gobhi Manchurian', 'Chilli Chicken', 'Chicken Manchurian', 'Tandoori Chicken', 'Punjabi Veg Thali', 'Special Punjabi Thali', 'Non Veg Thali', 'Punjabi Veg Thali', 'Special Punjabi Thali', 'Egg Thali', 'Non Veg Thali', 'Paneer Tikka', 'Gobhi Manchurian', 'Chilli Mushroom', 'Chilli Paneer', 'Paneer Manchurian', 'Paneer Manchurian', 'Aloo 65', 'Chilli Aloo', 'Chilli Babycorn', 'Babycorn Manchurian', 'Gobhi 65', 'Chilli Gobhi', 'Egg Manchurian', 'Egg Chilly', 'Egg Bhurji', 'Egg Omelette', '2 Boiled Egg', 'Chicken 65', 'Chilli Chicken', 'Lemon Chicken', 'Garlic Chicken', 'Pepper Chicken', 'Ginger Chicken', 'Chicken Manchurian', 'Chicken Kabab', 'Tandoori Chicken', 'Boneless Chicken Tikka', 'Paneer Tikka Masala', 'Babycorn Masala', 'Kaju Masala', 'Kaju Paneer', 'Matar Paneer Dry', 'Paneer Bhurji', 'Matar Paneer Gravy', 'Babycorn Kadai', 'Malai Kofta', 'Palak Paneer', 'Mashroom Paneer', 'Baingan Ka Bharta', 'Channa Paneer', 'Paneer Methi Malai', 'Paneer Butter Masala', 'Shahi Paneer', 'Kadai Paneer', 'Paneer Do Pyaza', 'Mushroom Do Pyaza', 'Matar Mushroom', 'Mushroom Masala', 'Kadai Mushroom', 'Veg Kadai', 'Dum Aloo', 'Mixed Veg Gravy', 'Mixed Veg Dry', 'Matar Methi Malai', 'Plain Palak', 'Aloo Palak', 'Rajma Masala', 'Channa Masala', 'Gobhi Masala', 'Channa Dry', 'Aloo Gobhi Matar', 'Bhindi Fry', 'Aloo Gobhi Gravy', 'Dal Makhani', 'Yellow Dal Tadka', 'Yellow Dal Fry', 'Aloo Jeera', 'Aloo Matar', 'Aloo Bhindi', 'Veg Makhanwala', 'Veg Kolhapuri', 'Aloo Capsicum Dry', 'Aloo Gobhi Dry', 'Aloo Tomato Gravy', 'Gobi Matar Gravy', 'Aloo Matar Dry', 'Channa Paneer Dry', 'Egg Masala', 'Egg Curry', 'Special Chicken Yummy Punjab', 'Chicken Masala', 'Chicken Murg Masala', 'Chicken Murg Makhani', 'Chicken Do Pyaza', 'Chicken Hydrabadi', 'Chilly Chicken Gravy', 'Kadai Chicken', 'Chicken Aachari', 'Chicken Punjabi', 'Chicken Curry', 'Handi Chicken', 'Methi Chicken', 'Chicken Tikka Masala', 'Boneless Butter Chicken', 'Tandoori Roti', 'Butter Roti', 'Naan', 'Butter Naan', 'Garlic Naan', 'Kulcha', 'Butter Kulcha', 'Stuffed Kulcha', 'Phulka', 'Butter Phulka', 'Plain Parantha', 'Ajwain Paratha', 'Aloo Paratha', 'Gobhi Paratha', 'Mooli Paratha', 'Onion Paratha', 'Paneer Paratha', 'Mixed Paratha', 'Chicken Keema Paratha', 'Veg Biryani', 'Biryani Rice', 'Jeera Rice', 'Ghee Rice', 'Curd Rice', 'Onion Rice', 'Tomato Rice', 'Plain Rice', 'Egg Biryani', 'Chicken Biryani', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Cucumber Raita', 'Onion Raita', 'Tomato Raita', 'Aloo Raita', 'Mixed Raita', 'Boondi Raita', 'Green Salad', 'Plain Curd [250 ml]', 'Roasted Papad', 'Masala Papad', 'Sweet Lassi', 'Butter Milk', 'Roohafza Lassi', 'Mineral Water [1 litre]', 'Dal Fry with Rice', 'Dal Tadka with Rice', 'Dal Makhani with Rice', 'Rajma Masala with Rice', 'Kadhi with Rice', 'Chana Masala with Rice', 'Plain Palak with Rice', 'Matar Paneer with Rice', 'Egg Masala with Rice', 'Egg Curry with Rice', 'Chicken Masala with Rice', 'Chicken Curry with Rice', 'Chicken Punjabi with Rice', 'Butter Chicken with Rice']",Dine-out
Punjabi Tadka,No,No,2.6 /5,270,Bellandur,Casual Dining,"North Indian, Chinese",400,[],Dine-out
Al Khansah,Yes,No,3.9 /5,373,Bellandur,Casual Dining,"North Indian, Mughlai, Biryani, Chinese",600,"['Chicken Lollipop', 'Chicken Biryani', 'Boneless Butter Chicken', 'Kadhai Chicken', 'Non Veg Combo 1', 'Non Veg Combo 3', 'Non Veg Combo 4', 'Veg Manchow Soup', 'Veg Hot & Sour Soup', 'Veg Sweet Corn Soup', 'Mushroom Sweet Corn Soup', 'Veg Clear Soup', 'Veg Coriander Noodles Soup', 'Veg Lemon Coriander Noodles Soup', 'Chicken Hot and Sour Soup', 'Chicken Manchow Soup', 'Chicken Sweet Corn Soup', 'Chicken Clear Soup', 'Chicken Coriander Noodles Soup', 'Chicken Lemon Coriander Noodles Soup', 'Veg Combo 1', 'Veg Combo 2', 'Veg Combo 3', 'Egg Combo 1', 'Egg Combo 2', 'Non Veg Combo 1', 'Non Veg Combo 2', 'Non Veg Combo 3', 'Non Veg Combo 4', 'Mushroom Pepper Fry', 'Aloo Paneer Cutlet', 'Baby Corn Pepper Dry', 'Paneer Pepper Dry', 'Udti Kabab [4 Pieces]', 'Chicken Kabab [7 Pieces]', 'Boneless Chicken Kabab [7 Pieces]', 'Chicken Pepper Fry', 'Boneless Chicken Pepper Fry', 'Mutton Pepper Fry', 'Tawa Mutton Fry', 'Mutton Ghee Roast', 'Paneer Tikka', 'Hariyali Paneer Tikka', 'Achari Paneer Tikka', 'Malai Paneer Tikka', 'Kali Mirch Paneer Tikka', 'Mushroom Tikka', 'Mushroom Achari Tikka', 'Mushroom Malai Tikka', 'Tandoori Chicken', 'Kalmi Kabab', 'Tangdi Kabab', 'Murgh Kali Mirch Tikka [7 Pieces]', 'Achari Murgh Tikka [7 Pieces]', 'Hariyali Murgh Tikka [7 Pieces]', 'Murgh Malai Kabab [7 Pieces]', 'Murgh Tikka [7 Pieces]', 'Murgh Lahsooni Kabab [7 Pieces]', 'Murgh Reshmi Kabab [7 Pieces]', 'Tandoori Winglets [4 Pieces]', 'Non Veg Chicken Platter', 'Veg Manchurian', 'Potato Chilli', 'Potato 65', 'Potato Manchurian', 'Gobi Chilli', 'Gobi 65', 'Gobi Manchurian', 'Baby Corn Manchurian', 'Baby Corn Chilli', 'Baby Corn 65', 'Paneer Manchurian', 'Paneer Chilli', 'Paneer 65', 'Mushroom Manchurian', 'Mushroom Chilli', 'Mushroom 65', 'Chicken Manchurian', 'Chilli Chicken', 'Chicken Chatpata', 'Chicken Lollipop', 'Dal Makhani', 'Dal Methi', 'Dal Palak', 'Dal Tadka', 'Dal Fry', 'Kaju Masala', 'Matar Kofta', 'Malai Kofta', 'Malai Methi Kofta', 'Malai Methi Paneer', 'Malai Paneer', 'Kadhai Paneer', 'Paneer Matar', 'Paneer Bhurji', 'Palak Paneer', 'Paneer Butter Masala', 'Paneer Pasanda', 'Paneer Jalfarezi', 'Paneer Lababdar', 'Paneer Tikka Lababdar', 'Paneer Tikka Masala', 'Achari Aloo Dry', 'Aloo Masala', 'Aloo Gobi Matar', 'Aloo Jeera', 'Aloo Matar', 'Aloo Methi Dry', 'Malai Methi Aloo', 'Malai Methi Matar', 'Malai Methi Mushroom', 'Bhindi Masala', 'Mixed Vegetable Curry', 'Mushroom Masala', 'Peas Mushroom Curry', 'Green Peas Masala', 'Palak Matar', 'Palak Baby Corn', 'Gobi Matar', 'Veg Makhanwala', 'Kadhai Vegetable', 'Chicken Bharta', 'Boneless Butter Chicken', 'Kadhai Chicken', 'Chicken Curry', 'Chicken Do Pyaza', 'Chicken Masala', 'Chicken Tikka Masala', 'Achari Chicken', 'Chicken Jalfrezi', 'Chicken Lababdar', 'Chicken Tikka Lababdar', 'Saag Chicken', 'Malai Methi Chicken', 'Malai Chicken', 'Mutton Rogan Josh', 'Mutton Kadhai', 'Mutton Rara Gosht', 'Mutton Curry', 'Mutton Saag Meat', 'Keema Curry', 'Keema Matar', 'Keema Egg Curry', 'Tawa Phulka', 'Tawa Hanky Paratha', 'Tawa Paratha', 'Tandoori Roti', 'Lachha Paratha', 'Rumali Roti', 'Plain Naan', 'Butter Naan', 'Garlic Naan', 'Garlic Butter Naan', 'Plain Kulcha', 'Aloo Kulcha', 'Gobi Kulcha', 'Onion Kulcha', 'Mooli Kulcha', 'Paneer Kulcha', 'Mixed Kulcha', 'Aloo Tandoori Paratha', 'Mooli Tandoori Paratha', 'Gobi Tandoori Paratha', 'Onion Tandoori Paratha', 'Paneer Tandoori Paratha', 'Mixed Tandoori Paratha', 'Aloo Paratha', 'Mooli Paratha', 'Gobi Paratha', 'Onion Paratha', 'Paneer Paratha', 'Mixed Paratha', 'Egg Kulcha', 'Egg Tandoori Paratha', 'Egg Paratha', 'Mutton Keema Paratha', 'Mutton Keema Tandori Paratha', 'Mutton Keema Kulcha', 'Steamed Rice', 'Jeera Rice', 'Ghee Rice', 'Curd Rice', 'Peas Pulao', 'Vegetable Pulao', 'Veg Biryani', 'Paneer Tikka Biryani', 'Egg Biryani', 'Chicken Biryani', 'Chicken Tikka Biryani', 'Mutton Biryani', 'Mutton Keema Biryani', 'Al Khansah Special Biryani', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Paneer Fried Rice', 'Veg Mixed Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Mutton Keema Fried Rice', 'Non Veg Mixed Fried Rice', 'Chilli Garlic Veg Noodles', 'Veg Hakka Noddles', 'Mushroom Noodles', 'Paneer Noodles', 'Veg Mixed Noodles', 'Singapore Veg Chowmein', 'American Veg Chopsuey', 'Chilli Garlic Egg Noodles', 'Hakka Egg Noodles', 'Singapore Egg Chowmein', 'American Egg Chopsuey', 'Chilli Garlic Chicken Noodles', 'Hakka Chicken Noodles', 'Non Veg Mixed Noodles', 'Singapore Chicken Chowmein', 'Singapore Mixed Non Veg Chowmein', 'American Chicken Chopsuey', 'Masala Omelette', 'Egg Bhurji', 'Egg Pakoda', 'Egg Chilli', 'Egg Manchurian', 'Egg 65', 'Egg Masala', 'Crispy Baby Corn', 'American Corn Chat', 'Vegetable Pakoda', 'Bread Pakoda', 'Onion Pakoda', 'Aloo Pakoda', 'Crispy Chicken', 'Chicken Pakoda (8 Pieces)', 'Green Salad', 'Masala Papad', 'Fried Papad', 'Roasted Papad', 'Mixed Raita', 'Plain Curd [300 ml]', 'Gulab Jamun', 'Sweet Lassi', 'Salt Lassi', 'Buttermilk', 'Masala Lassi', 'Masala Coke [300 ml]', 'Masala Thums Up [300 ml]', 'Masala Sprite [300 ml]', 'Sweet Lime Soda', 'Sweet and Sour Lime Soda', 'Salt Lime Soda']",Dine-out
Apna Veg Dhaba,Yes,No,3.1 /5,35,Bellandur,Casual Dining,"North Indian, Chinese",550,[],Dine-out
Biriyani House,Yes,No,3.6 /5,30,Bellandur,Quick Bites,"Biryani, North Indian",400,"['Pure Veg Biryani', 'Biryani with Egg', 'Egg Biryani', 'Biryani Rice', 'Chicken Biryani', 'Fried Chicken Kabab', 'Chicken Nano Combo', 'Chicken Family Combo', 'Chicken Nano Combo', 'Chicken Family Combo', 'Fried Chicken Kabab', 'Mutton Shami Kabab [4 Pieces]', 'Shahi Paneer', 'Kadhai Paneer', 'Matar Paneer', 'Chicken Changezi', 'Chicken Cream Changezi', 'Chicken Butter Changezi', 'Chicken Butter Cream Changezi', 'Chicken Korma', 'Kadhai Chicken', 'Butter Chicken', 'Pure Veg Biryani', 'Biryani with Egg', 'Egg Biryani', 'Biryani Rice', 'Chicken Biryani']",Dine-out
Cafe Thulp,Yes,Yes,4.0 /5,348,Bellandur,Cafe,"Cafe, Burger, Italian, Salad","1,000","['Bangkok Dangerous Crispy Beef ', 'Piggy Fries', 'Buffalo Bill', 'Moo Burger Chicken with Cheese', 'Moo Burger Beef', 'Moo Burger Beef with Cheese', 'Moo Burger Beef with Cheese and Bacon', 'Spaceballs the Movie Pasta', 'Thai Style Cauliflower Rice Bowl with Tofu', 'Beef Steak', ""Manu's Pork Curry"", 'Thulp Keto Chicken Burger with Cheese', 'Thulp Keto Beef Burger with Bacon and Cheese', 'Thulp Keto Beef Burger with Cheese', 'Thulp Keto Chicken Burger with Bacon and Cheese', 'Thulp Keto Pork Burger with Bacon and Cheese', 'Chicken Sandwich', 'Broccoli and Coconut Soup', 'Cauliflower and Almond Soup', 'Tofu Salad', 'Chicken Salad', 'Thai Style Cauliflower Rice Bowl with Tofu', 'Kerala Veggie Stew with Cauliflower Rice', 'Kerala Veggie Stew with Cauliflower Bread', 'Thai Style Cauliflower Rice Bowl with Chicken', 'Beef Steak', 'Smoked Ham Steak', 'Chicken Kerala Stew', 'Chicken in a Blanket', ""Manu's Pork Curry"", 'Thulp Keto Chicken Burger', 'Thulp Keto Chicken Burger with Cheese', 'Thulp Keto Beef Burger with Bacon and Cheese', 'Thulp Keto Beef Burger', 'Thulp Keto Beef Burger with Cheese', 'Thulp Keto Chicken Burger with Bacon and Cheese', 'Thulp Keto Pork Burger', 'Thulp Keto Pork Burger with Cheese', 'Thulp Keto Pork Burger with Bacon and Cheese', 'Spicy Grilled Cheese Sandwich', 'Chicken Sandwich', 'Beef Sandwich', 'Olives, Mushroom, onion and Tofu Pizza', 'Chicken Jalapeno Pizza', 'Bacon Mushroom Pizza', 'Ham and Smoked Jalapeno Pizza', 'Chocolate Almond Cake with Cream', 'Gonzo Garbanzo', 'Joi and Luv', 'The Heart Transplant Regular Hand Cut Fries', 'The Heart Transplant Cheesy Garlic Hand Cut Fries', 'Bangkok Dangerous Crispy Beef ', 'Bangkok Dangerous Crispy Chicken', 'Piggy Fries', 'Buffalo Bill', 'The Italian Stallion Sandwich', 'Peta Ka Beta Sandwich', 'The Mondo Malabar Chicken Sandwich', 'The Mondo Malabar Beef Sandwich', 'The Salty Pig Sandwich', 'Moo Burger Chicken', 'Moo Burger Chicken with Cheese', 'Double Moo Burger Chicken', 'Double Moo Burger Chicken with Cheese', 'Moo Burger Beef', 'Moo Burger Beef with Cheese', 'Moo Burger Beef with Cheese and Bacon', 'Moo Burger Chicken with Cheese and Bacon', 'Double Moo Burger Chicken with Cheese and Bacon', 'Moo Burger Pork', 'Moo Burger Pork with Cheese', 'Moo Burger Pork with Cheese and Bacon', 'Double Moo Burger Beef', 'Double Moo Burger Beef with Cheese', 'Double Moo Burger Beef with Cheese and Bacon', 'Double Moo Burger Pork', 'Double Moo Burger Pork with Cheese', 'Double Moo Burger Pork with Cheese and Bacon', 'The Beirut Express', 'The Pancho Villain', 'Speedy Gonzalez', 'The Trailer Park Tangle Fried Chicken Burger', 'The Smoking Gun Pulled Beef', 'The Shikampuri Shotgun', 'The Smoking Gun Pulled Pork', 'Veggie Hail Caesar Salad', 'Veg Paw Paw Pow Salad', 'Grilled Chicken Hail Caesar Salad', 'Smoked Bacon Hail Caesar Salad', 'Veg Alphonso Hankypants Pasta', 'Veg Popeyes Paramour Pasta', 'Chicken Alphonso Hankypants Pasta', 'Ham Alphonso Hankypants Pasta', 'Bacon Alphonso Hankypants Pasta', 'Chicken Popeyes Paramour Pasta', 'Ham Popeyes Paramour Pasta', 'Bacon Popeyes Paramour Pasta', 'Spaceballs the Movie Pasta', 'The Peppery Yakuza', 'Birdy Bleus', 'Sour Puss', 'Crazy Cuke', 'The Freshman', 'Saigon Kick', 'The Khaosan Kooler', ""Vanilla Sheikh Yerbooty's Old Fashioned Milkshake"", ""Chocolate Sheikh Yerbooty's Old Fashioned Milkshake"", ""Snickers Blizzard Sheikh Yerbooty's Old Fashioned Milkshake"", ""Oreo Cookie Sheikh Yerbooty's Old Fashioned Milkshake"", 'Aunty Sam', 'Aunty Sam with Vanilla Ice Cream', 'The Song of Ice and Fire', 'The Tellicherry Tangle', 'Pig Pen']",Dine-out
Ambur Dum Biriyani,No,No,3.0 /5,11,Bellandur,Quick Bites,Biryani,150,[],Dine-out
Biriyani Adda,Yes,No,3.2 /5,6,Bellandur,Quick Bites,"Biryani, Fast Food",350,"['Veg Biryani', 'Egg Biryani', 'Chicken Biryani', 'Chicken Lollipop', 'Chicken Kabab', 'Chicken Biryani Family Pack', 'Chicken Adda Combo', 'Adda Khuska Combo', 'Adda Biryani Family Combo', 'Veg Biryani Family Pack', 'Mini Veg Combo', 'Veg Chinese Combo', 'Egg Biryani Family Pack', 'Chicken Biryani Family Pack', 'Mini Non Veg Combo', 'Non Veg Chinese Combo', 'Steamed Rice', 'Curd Rice', 'Jeera Rice', 'Ghee Rice', 'Peas Pulao', 'Veg Biryani', 'Mushroom Biryani', 'Paneer Biryani', 'Egg Biryani', 'Chicken Biryani', 'Veg Sweet Corn Soup', 'Veg Manchow Soup', 'Veg Hot and Sour Soup', 'Veg Pepper Soup', 'Chicken Sweet Corn Soup', 'Chicken Manchow Soup', 'Chicken Hot and Sour Soup', 'Chicken Pepper Soup', 'French Fries', 'Honey Chilly Potato', 'Chilly Potato Flakes', 'Onion Pakoda', 'Veg Manchurian', 'Gobi Pakoda', 'Gobi Chilly', 'Gobi Manchurian', 'Gobi 65', 'Mushroom Chilly', 'Mushroom Manchurian', 'Mushroom 65', 'Baby Corn Chilly', 'Baby Corn Manchurian', 'Baby Corn 65', 'Paneer Chilly', 'Paneer Manchurian', 'Paneer 65', 'Paneer Pakoda', 'Paneer Finger', 'Chicken Chilly', 'Chicken Manchurian', 'Chicken 65', 'Chicken Garlic', 'Chicken Lemon', 'Chicken Pepper', 'Chicken Lollipop', 'Chicken Wings', 'Chicken Kabab', 'Dal Fry', 'Dal Tadka', 'Aloo Matar', 'Aloo Jeera', 'Aloo Gobi', 'Dum Aloo Punjabi', 'Green Peas Masala', 'Veg Kadai', 'Mixed Veg', 'Mixed Kolhapuri', 'Mixed Handi', 'Mixed Korma', 'Mushroom Matar', 'Mushroom Do Pyaza', 'Mushroom Korma', 'Mushroom Masala', 'Veg Kofta', 'Malai Kofta', 'Butter Paneer', 'Paneer Palak', 'Paneer Lababdar', 'Paneer Korma', 'Paneer Kadai', 'Paneer Makhani', 'Paneer Shahi', 'Egg Curry', 'Egg Masala', 'Egg Bhurji', 'Egg Bhurji Curry', 'Egg Omelette Curry', 'Egg Korma', 'Egg Dal Tadka', 'Chicken Tawa', 'Chicken Rara', 'Chicken Punjabi Tadka', 'Chicken Palak', 'Chicken Korma', 'Chicken Kolhapuri', 'Chicken Kali Mirch', 'Chicken Do Pyaza', 'Chicken Maharaja', 'Chicken Kadai', 'Chicken Makhani', 'Chicken Bhuna', 'Butter Chicken', 'Tawa Roti', 'Butter Tawa Roti', 'Triangle Paratha', 'Lachha Paratha', 'Aloo Paratha', 'Onion Paratha', 'Gobi Paratha', 'Pudina Paratha', 'Methi Paratha', 'Mixed Veg Paratha', 'Mushroom Paratha', 'Paneer Paratha', 'Egg Paratha', 'Chicken Paratha', 'Veg Noodles', 'Paneer Noodles', 'Mushroom Noodles', 'Veg Hakka Noodles', 'Veg Schezwan Noodles', 'Veg American Noodles', 'Veg Fried Rice', 'Gobi Fried Rice', 'Paneer Fried Rice', 'Mushroom Fried Rice', 'Veg Hakka Fried Rice', 'Veg Schezwan Fried Rice', 'Egg Fried Rice', 'Egg Noodles', 'Chicken Hakka Fried Rice', 'Chicken Hakka Noodles', 'Chicken Schezwan Noodles', 'Chicken American Noodles', 'Chicken Schezwan Fried Rice', 'Non Veg Mixed Fried Rice', 'Non Veg Mixed Noodles', 'Vegetable Roll', 'Mushroom Roll', 'Paneer Roll', 'Egg Roll', 'Double Egg Roll', 'Chicken Roll', 'Double Egg Chicken Roll', 'Double Egg Double Chicken Roll', 'Egg Chilly', 'Egg Pakoda', 'Egg Manchurian', 'Egg Omelette', 'Green Salad', 'Cucumber Curd Raita', 'Fresh Butter Milk', 'Sweet Lassi', 'Salt Lassi', 'Sweet Soda', 'Salt Soda', 'Masala Cold Beverages', 'Fresh Lime Juice', 'Cola [200 ml]', 'Sprite [200 ml]', 'Mineral Water [1 litre]']",Dine-out
